title,group_id,group_name,entity_id,matching ID,Column2,Column3
אוניברסיטת אריאל בשומרון,4ae1ad21-c186-425f-8f5a-6c75f9eee1ae,ariel,foi-office-622,,,
אוניברסיטת בן-גוריון בנגב,b17fa7e1-4399-4b1f-9d3a-71998aedcdf7,bgu,foi-office-605,,,
אוניברסיטת חיפה,5adf672f-8000-4531-ba29-2748868cf58a,haifa-ac,foi-office-607,,,
אחר: החברה לאיתור ולהשבת נכסים של נספי השואה בעמ,2af6a2f9-21af-4b5d-9636-a9c9d4c70871,foi-office-2703,foi-office-2703,,,
איגוד הכדורסל,a61d9d52-38d7-4228-b961-4fea54c4f5b1,ibasketball,,,,
איגוד ערים: אזור אגן בית נטופה ( איכות הסביבה),03355255-b7f6-4b48-8f96-6462f6af8724,foi-office-4194,foi-office-4194,,,
איגוד ערים: אזור דן (תברואה וסילוק אשפה),771a8187-b127-4f6a-91ef-12bbf9c7f7d1,foi-office-4190,foi-office-4190,,,
איגוד ערים: איגוד אזור שדרות ושער הנגב לביוב,3b21ffc6-2535-475c-bd9e-f3bacc9e74ba,foi-office-4208,foi-office-4208,,,
איגוד ערים: איגוד דרום השרון המזרחי לביוב,f34f2281-4e0a-48dc-9b8a-7859cbd11790,foi-office-4210,foi-office-4210,,,
איגוד ערים: איגוד ערים אזור השרון לתברואה,a4ca8bf5-7cd7-47f7-b6fc-e6d5e5e8514e,foi-office-4189,foi-office-4189,,,
איגוד ערים: איגוד ערים אזור חיפה- ביוב,192207ae-09ed-481a-9158-2970c6e577f7,foi-office-4205,foi-office-4205,,,
איגוד ערים: איגוד ערים אזור מפרץ חיפה- הגנת הסביבה,dbb8ac21-ffc3-410e-89b0-e221b3bedf7a,foi-office-2871,foi-office-2871,,,
איגוד ערים: איגוד ערים דן לתשתיות איכות הסביבה,02e85e05-3b58-435d-9a24-db8f5170ed95,foi-office-4206,foi-office-4206,,,
איגוד ערים: איגוד ערים לשמירת איכות הסביבה שרון כרמל,76a3e3bc-4928-49ff-9cca-1d0f47845110,foi-office-4196,foi-office-4196,,,
איגוד ערים: אילון - איגוד ערים לביוב ותברואה,745dfda9-47d2-42c5-818e-8b5cdd302b8b,foi-office-4207,foi-office-4207,,,
איגוד ערים: אשדוד חבל יבנה (איכות הסביבה),be0cfd73-f067-4e9e-a2d3-c16935260fa4,foi-office-4197,foi-office-4197,,,
איגוד ערים: גליל מערבי ( איכות סביבה),6f66a64d-e5e0-4a87-90e6-13a7be69a61d,foi-office-4191,foi-office-4191,,,
איגוד ערים: דרום יהודה ( איכות הסביבה),24392708-0cf3-4fab-b9fa-907bc0b1af00,foi-office-4200,foi-office-4200,,,
איגוד ערים: יהודה (איכות הסביבה),b858a050-a31b-42e4-8bb8-2cf5dd852b24,foi-office-4199,foi-office-4199,,,
איגוד ערים: שומרון (איכות הסביבה),dc447054-9c81-4784-bff4-e12b7069dac8,foi-office-4193,foi-office-4193,,,
בנק ישראל,812f6f17-e585-4061-a5d2-edb4e918e807,boi,,,,
האוניברסיטה העברית בירושלים,0bc7ff58-e5aa-414a-9706-53375dc50bce,huji,foi-office-610,,,
האפוטרופוס הכללי והכונס הרשמי,23722704-2225-4572-b1fa-80a822e90e4e,apac,foi-office-450,,,
החברה הממשלתית להגנות ים המלח בעמ,b4c5fc2a-7824-44a8-8983-0a840f072441,haganot,foi-office-579,,,
"החברה לשירותי איכות הסביבה בע""מ (ESC)",708efbd4-5c38-471c-8dbb-4c288aca53ff,esc,,,,
החטיבה להתיישבות,e3ba4382-c84c-4c97-aad2-4377677d9246,hityashvut,,,,
הטכניון - מכון טכנולוגי לישראל,b95fee17-dee4-4bcd-a9f8-d8ab66c88dea,technion,foi-office-627,,,
הלשכה המרכזית לסטטיסטיקה,db486672-7742-44b7-831d-c7a357ec459f,cbs,foi-office-425,,,
המדפיס הממשלתי,cdcedd9e-be98-446b-927b-ff5e72cf4e2e,mof-gp,foi-office-426,,,
המועצה המקומית תל שבע,1c6f3079-439f-4ee4-a0cb-06698ce16c23,tel-sheva,,,,
המכללה האקדמית ספיר,472b9fd2-7d49-4d9f-ab81-f502946087ee,sapir,foi-office-1059,,,
המכללה האקדמית צפת,1d29f6f3-8d7f-4b31-a2cc-8ed26f7b1157,zefat-ac,foi-office-620,,,
המרכז הרפואי לגליל,c8608129-8319-4339-b304-1b85d087733c,gmc,foi-office-416,,,
המשרד לביטחון הפנים,4d6e4d05-6c0e-4834-ad13-576d18de1814,mops,foi-office-396,,,
המשרד להגנת הסביבה,4dfedada-5a7b-45ab-8ec3-c465f23e560d,sviva,foi-office-397,,,
המשרד להגנת העורף,15509819-cdb8-47ba-b2b7-2ebf9d376e63,orefm,,,,
המשרד לנושאים אסטרטגיים והסברה,7c187bc1-8939-40d7-b471-ac128b32a543,strategic,,,,
המשרד לשירותי דת,08bb3fdf-e5a8-48c3-8cea-c4451912e253,dat,foi-office-399,,,
המשרד לשיתוף פעולה אזורי,4163f7a7-ff1e-483a-aa1c-6543bc9ddae8,morc,,,,
הנהלת בתי המשפט,39b2c680-b107-47b5-88f4-b910a00c0b7b,court,foi-office-431,,,
הספרייה הלאומית,d186c377-bed4-4464-8713-c202e0c24723,nli,foi-office-2702,,,
הרבנות הראשית לישראל,880a8109-93b3-42b0-97ac-f69ebb379866,chief_rabbinate_of_israel,foi-office-1634,,,
הרפובליקה של צ'ילה Republic of Chile,448bb81d-2c68-4287-8961-b797429e5f61,republic-of-chile,,,,
הרשות הארצית לכבאות והצלה,2aac7de4-55e0-4d48-a610-2b2b68f8061a,firefighting_and_rescue,foi-office-780,,,
הרשות הלאומית להסמכת מעבדות,c7e747c0-6d52-452f-87cf-1f11c92addb0,israc,foi-office-537,,,
הרשות השנייה לטלוויזיה ולרדיו,50f36e8f-7c46-421d-9ee2-9bbd0bbd2094,rashut2,foi-office-538,,,
הרשות לשיקום האסיר,d4d20cf8-4d7c-4d5d-9e85-d7589abd3198,pra,,,,
השכלה גבוהה: אוניברסיטת בר-אילן,43289e1a-e2c2-4425-ab89-92de9c5e617d,foi-office-606,foi-office-606,,,
השכלה גבוהה: אוניברסיטת תל-אביב,caccf903-c657-49de-aef9-e206670fa510,foi-office-608,foi-office-608,,,
השכלה גבוהה: אורט בראודה - המכללה האקדמית להנדסה,df8bbdcd-3350-4b7d-8c17-56e4572bb1a9,foi-office-617,foi-office-617,,,
השכלה גבוהה: אפקה - המכללה האקדמית להנדסה בתל-אביב,05bc8916-26e8-4305-9655-2faf2b8eccd0,foi-office-609,foi-office-609,,,
השכלה גבוהה: בצלאל- אקדמיה לעיצוב ואומנות בירושלים,5823c319-85f0-41ee-a350-6d9ef12410d5,foi-office-1047,foi-office-1047,,,
השכלה גבוהה: האוניברסיטה הפתוחה,dd389bd5-d50c-4d8d-ad9b-fcd2f2e22e2f,foi-office-611,foi-office-611,,,
השכלה גבוהה: האקדמיה למוסיקה ולמחול בירושלים,ff71c8f2-e62c-4baa-b2ca-cb968490d635,foi-office-612,foi-office-612,,,
השכלה גבוהה: המכללה האקדמית אשקלון,47e8a829-bdc1-4322-a702-d78b7b93abf4,foi-office-613,foi-office-613,,,
השכלה גבוהה: המכללה האקדמית גליל מערבי,e850793a-5632-4fac-9421-ee7b38e7f79f,foi-office-1049,foi-office-1049,,,
השכלה גבוהה: המכללה האקדמית הדסה ירושלים,a1d89393-ed9c-4d18-ae81-ed7712558875,foi-office-1050,foi-office-1050,,,
השכלה גבוהה: המכללה האקדמית כנרת בעמק הירדן,1ce29e8f-2183-4fab-a3fb-2ab0fb9f4291,foi-office-616,foi-office-616,,,
